,Unnamed: 0,X,date,team1,team2,t1,t2,score_diff,win,team1_win,score_diff_t1,score_diff_t2,match_date,date_score,sd1_weight,sd2_weight,team_score_diff_t1,team_score_diff_date_t1,team_score_diff_t2,team_score_diff_date_t2,team1,team2
51,52,51,09.10. 20:45,Switzerland,San Marino,7,0,7,1,1,7,-7,10,0.8,5.6,-5.6,16,11,-35,-22.1,Switzerland,San Marino
73,74,73,07.09. 20:45,Poland,Gibraltar,8,1,7,1,1,7,-7,9,0.7,4.9,-4.9,23,16,-54,-35.5,Poland,Gibraltar
222,223,222,11.10. 18:00,Ireland,Gibraltar,7,0,7,1,1,7,-7,10,0.8,5.6,-5.6,14,10.7,-54,-35.5,Ireland,Gibraltar
162,163,162,27.03. 20:45,Slovenia,San Marino,6,0,6,1,1,6,-6,3,0.1,0.6,-0.6,5,-0.1,-35,-22.1,Slovenia,San Marino
173,174,173,16.11. 18:00,Netherlands,Latvia,6,0,6,1,1,6,-6,11,0.9,5.4,-5.4,3,2.7,-13,-10.1,Netherlands,Latvia
202,203,202,13.10. 20:45,Croatia,Azerbaijan,6,0,6,1,1,6,-6,10,0.8,4.8,-4.8,15,9.2,-11,-10.2,Croatia,Azerbaijan
225,226,225,10.10. 20:45,Belgium,Andorra,6,0,6,1,1,6,-6,10,0.8,4.8,-4.8,19,11.1,-32,-22.4,Belgium,Andorra
235,236,235,09.10. 20:45,England,San Marino,5,0,5,1,1,5,-5,10,0.8,4,-4,28,18.4,-35,-22.1,England,San Marino
146,147,146,29.03. 18:00,Scotland,Gibraltar,6,1,5,1,1,5,-5,3,0.1,0.5,-0.5,10,4.9,-54,-35.5,Scotland,Gibraltar
148,149,148,28.03. 20:45,Belgium,Cyprus,5,0,5,1,1,5,-5,3,0.1,0.5,-0.5,19,11.1,5,2.5,Belgium,Cyprus
172,173,172,16.11. 18:00,Cyprus,Andorra,5,0,5,1,1,5,-5,11,0.9,4.5,-4.5,-1,2.5,-32,-22.4,Cyprus,Andorra
152,153,152,28.03. 18:00,Croatia,Norway,5,1,4,1,1,4,-4,3,0.1,0.4,-0.4,15,9.2,1,3.4,Croatia,Norway
50,51,50,09.10. 20:45,Spain,Luxembourg,4,0,4,1,1,4,-4,10,0.8,3.2,-3.2,20,14.5,-21,-13.7,Spain,Luxembourg
177,178,177,15.11. 20:45,Switzerland,Lithuania,4,0,4,1,1,4,-4,11,0.9,3.6,-3.6,16,11,-11,-6.2,Switzerland,Lithuania
156,157,156,27.03. 20:45,England,Lithuania,4,0,4,1,1,4,-4,3,0.1,0.4,-0.4,28,18.4,-11,-6.2,England,Lithuania
259,260,259,08.09. 18:00,Russia,Liechtenstein,4,0,4,1,1,4,-4,9,0.7,2.8,-2.8,16,9.8,-24,-14.3,Russia,Liechtenstein
183,184,183,14.11. 20:45,Germany,Gibraltar,4,0,4,1,1,4,-4,11,0.9,3.6,-3.6,15,7.8,-54,-35.5,Germany,Gibraltar
59,60,59,08.10. 18:00,Georgia,Gibraltar,4,0,4,1,1,4,-4,10,0.8,3.2,-3.2,-6,-2.1,-54,-35.5,Georgia,Gibraltar
128,129,128,13.06. 18:00,Poland,Georgia,4,0,4,1,1,4,-4,6,0.4,1.6,-1.6,23,16,-6,-2.1,Poland,Georgia
256,257,256,08.09. 20:45,Spain,FYR Macedonia,5,1,4,1,1,4,-4,9,0.7,2.8,-2.8,20,14.5,-12,-8.1,Spain,FYR Macedonia
107,108,107,03.09. 20:45,Israel,Andorra,4,0,4,1,1,4,-4,9,0.7,2.8,-2.8,2,5.1,-32,-22.4,Israel,Andorra
247,248,247,09.09. 20:45,Iceland,Turkey,3,0,3,1,1,3,-3,9,0.7,2.1,-2.1,11,5.8,5,3.8,Iceland,Turkey
84,85,84,06.09. 18:00,Turkey,Netherlands,3,0,3,1,1,3,-3,9,0.7,2.1,-2.1,5,3.8,3,2.7,Turkey,Netherlands
120,121,120,14.06. 18:00,Ukraine,Luxembourg,3,0,3,1,1,3,-3,6,0.4,1.2,-1.2,12,9.5,-21,-13.7,Ukraine,Luxembourg
161,162,161,27.03. 20:45,Slovakia,Luxembourg,3,0,3,1,1,3,-3,3,0.1,0.3,-0.3,9,5,-21,-13.7,Slovakia,Luxembourg
23,24,23,12.10. 18:00,Austria,Liechtenstein,3,0,3,1,1,3,-3,10,0.8,2.4,-2.4,17,9.4,-24,-14.3,Austria,Liechtenstein
164,165,164,27.03. 20:45,Switzerland,Estonia,3,0,3,1,1,3,-3,3,0.1,0.3,-0.3,16,11,-5,-2.8,Switzerland,Estonia
36,37,36,10.10. 20:45,Croatia,Bulgaria,3,0,3,1,1,3,-3,10,0.8,2.4,-2.4,15,9.2,-3,-2.7,Croatia,Bulgaria
167,168,167,16.11. 20:45,Israel,Bosnia & Herzegovina,3,0,3,1,1,3,-3,11,0.9,2.7,-2.7,2,5.1,-3,-2.7,Israel,Bosnia & Herzegovina
176,177,176,15.11. 20:45,Spain,Belarus,3,0,3,1,1,3,-3,11,0.9,2.7,-2.7,20,14.5,-6,-5.4,Spain,Belarus
77,78,77,06.09. 20:45,Bosnia & Herzegovina,Andorra,3,0,3,1,1,3,-3,9,0.7,2.1,-2.1,3,-1,-32,-22.4,Bosnia & Herzegovina,Andorra
35,36,35,10.10. 20:45,Bosnia & Herzegovina,Wales,2,0,2,1,1,2,-2,10,0.8,1.6,-1.6,3,-1,7,2.9,Bosnia & Herzegovina,Wales
61,62,61,08.09. 20:45,England,Switzerland,2,0,2,1,1,2,-2,9,0.7,1.4,-1.4,28,18.4,16,11,England,Switzerland
5,6,5,14.11. 18:00,Ukraine,Slovenia,2,0,2,1,1,2,-2,11,0.9,1.8,-1.8,12,9.5,5,-0.1,Ukraine,Slovenia
179,180,179,15.11. 18:00,England,Slovenia,3,1,2,1,1,2,-2,11,0.9,1.8,-1.8,28,18.4,5,-0.1,England,Slovenia
88,89,88,05.09. 20:45,Spain,Slovakia,2,0,2,1,1,2,-2,9,0.7,1.4,-1.4,20,14.5,9,5,Spain,Slovakia
121,122,121,13.06. 20:45,Denmark,Serbia,2,0,2,1,1,2,-2,6,0.4,0.8,-0.8,2,0.8,-5,-2.9,Denmark,Serbia
116,117,116,14.06. 18:00,Estonia,San Marino,2,0,2,1,1,2,-2,6,0.4,0.8,-0.8,-5,-2.8,-35,-22.1,Estonia,San Marino
